МФК;Факультет;Формат;Курс читают;Описание
Физика цунами;Физический факультет;Online-курс;Носов М. А. (профессор)Колесов С. В.Большакова А. В.Семенцов К. А. ;Проблема цунами является актуальным и практически востребованным направлением современной геофизики, находящимся на стыке физической океанологии и сейсмологии. За истекшие полтора десятилетия 21-го века произошли более 10 крупных цунами, которые унесли жизни 250 тысяч человек и причинили колоссальный материальный ущерб. Наиболее катастрофические из этих событий – цунами в Индонезии (26.12.2004 – Суматра, 28.09.2018 – Сулавеси, 22.12.2018 – Анак-Кракатау) и в Японии 11.03.2011 – убедительно показали, что, несмотря на обширные накопленные знания о физической природе цунами, разработанные математические модели явления и технологии прогноза, проблема цунами все еще далека от разрешения и требует привлечения новых идей и технологий. Стремительный рост населения прибрежной зоны, развитие берегов...                        
"Современные компьютеры и интернет: могут ли они работать со ""скоростью"" света?";Физический факультет;Online-курс;Прудников И. Р. ;  В рамках представленного курса в простой и доступной форме обсуждаются идея и возможности создания компьютера, в котором для передачи сигналов используется свет, а не электрический ток. Какой выигрыш и преимущество в быстродействии и энергопотреблении дает использование света? Какие современные оптические материалы, созданные при помощи современных нанотехнологий, имеют перспективу использования для создания нового типа компьютеров? Какие успехи на пути создания нового типа компьютеров достигнуты к настоящему времени? Развернутое обсуждение этих вопросов дается в цикле лекций.  ...                        
Математическое моделирование глобальной общественной динамики;Физический факультет;Online-курс;Плохотников К. Э. (старший научный сотрудник) ;В курсе представлен набор математических моделей, а также ряд методологических и философских построений, направленных на изучение глобальной общественной динамики. Особенностью данного курса является специфика толкования общественной динамики, которая определяется и изучается с точки зрения выявления в общественной жизни единой управленческой инфраструктуры, получившей специальное наименование властно-волевой. Излагаются, разработанные автором ранее, математические модели нормативной модели истории, политики с позиций силы, а также модель псифизики. Именно в последней модели вводится центральное понятие “властно-волевой инфраструктуры”. Согласно модели псифизики актор (субъект, оператор) может быть “собран” из четырех определенных и исчисленных компонентов, названных волей, свободой, силой...                        
Оптические явления в наномире;Физический факультет;Online-курс;Коновко А. А.Шутова О. А. ;"Курс посвящен проблеме взаимодействия оптического излучения с объектами, масштаб которых лежит в нанометровом диапазоне. Это и биологические объекты, такие как клетки, субклеточные структуры, бактерии, вирусы, высокомолекулярные соединения, и неорганические структуры, такие как фотонные кристаллы, микрорезонаторы, устройства хранения и передачи информации и даже отдельные молекулы. Курс знакомит студентов с современными достижениями в физике взаимодействия света с наноструктурированными материалами; демонстрирует отличия оптических явлений на нанометровом масштабе от традиционной оптики макроскопически неоднородных сред; раскрывает непосредственную связь нанооптики с такими разделами науки как квантовая физика, термодинамика, статистическая физика и материаловедение; углубляет понимание вз...                        "
Мировоззренческие вопросы современного естествознания;Физический факультет;Online-курс;Хунджуа А. Г. (профессор) ;....                        
Как химия объясняет и изменяет окружающий мир;Химический факультет;Online-курс;Еремин В. В. (профессор)Дроздов А. А. (доцент) ;Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Курслекций дает первоначальное представлениео химии и ее роли в жизни человека иобщества. Он состоит из двух частей:первая из них рассказывает о том, какхимия объясняет окружающий мир – какустроены вещества, почему и как идутхимические реакции, и какие веществаопределяют свойства живых систем. Втораячасть посвящена прикладным аспектамхимии – она показывает, как химия влияетна жизнь общества и улучшает повседневнуюжизнь людей. В ней рассказывается оценных продуктах химической промышленности,химических способах производстваэнергии и новых материалах, новыхвеществах, используемых в быту, современныхсте...                        
Простые молекулы в нашей жизни;Химический факультет;Online-курс;Еремин В. В. (профессор) ;Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Курсрассказывает о веществах, которыесостоят из очень простых молекул, ноиграют огромную роль в жизни человекаи общества. Эти вещества участвуют вбиохимических процессах в организмечеловека, определяют свойства окружающейего природной среды и служат источникоммногих материалов, которые приносятпользу человеку и делают его жизнь болеекомфортной. К таким веществам относятся,в первую очередь, вода, газы – компонентыатмосферы (кислород, азот, углекислыйгаз, озон), а также газы и жидкости,используемые в крупных промышленныхпроцессах (водород, хлор, аммиак, угарныйгаз, этилен, бензол).Преподаватель:Еремин...                        
Ферменты и микроорганизмы в нашей жизни;Химический факультет;Online-курс;Клячко Н. Л. (профессор)Белогурова Н. Г. (доцент)Кудряшова Е. В. (доцент)Еремеев Н. Л. (ведущий научный сотрудник) ;....                        
Современные технологии веществ и материалов;Химический факультет;Online-курс;Лазоряк Б. И. (профессор)Максимова Н. В. (доцент) ;....                        
Геном человека: страхи и надежды;Химический факультет;Online-курс;Готтих М. Б. (профессор)Долинная Н. Г. (в.н.с.)Рубцова М. П. (с.н.с)Орецкая Т. С. (профессор)Кубарева Е. А. (г.н.с.)Метелев В. Г. (в.н.с.)Сергиев П. В. (профессор) ;Общие сведения о структуре нуклеиновых кислот. «Устройство» каждого гена в отдельности и всего генома в целом. Основные принципы передачи генетической информации. Биологическое метилирование ДНК: эпигенетика, ферменты, роль в важнейших клеточных процессах и возникновении патологий. Повреждения, возникающие в ДНК, и системы «исправления» этих повреждений. ДНК-диагностика при выявлении инфекционных и генетических заболеваний. Лекарства, не действующие на геном: противоинфекционная терапия. Направленное воздействие на геном: генная терапия и создание лекарственных препаратов направленного действия на основе РНК и ДНК. Регулирование активности белков с помощью препаратов на основе нуклеиновых кислот. Причины появления у бактерий устойчивости к действию антибиотиков и пути поиска новых противоб...                        
Как природа и человек управляют химическими реакциями;Химический факультет;Online-курс;Пичугина Д. А.Голубина Е. В. ;Оригинальный курс лекций рассчитан на широкий круг студентов, как естественно-научных, так и гуманитарных специальностей, которые интересуются законами природы и причинами протекания различных химических процессов.  Целью курса является предоставление фундаментальных и практических знаний о многообразии химических процессов в природе и деятельности человека, способах воздействия на их глубину протекания и скорость. В доступной форме рассматриваются химические свойства веществ с позиции атомного строения, особенностей электронных свойств и агрегатного состояния. Обсуждается применение физико-химических законов для объяснения и прогнозирования основных характеристик химических процессов, протекающих в окружающем нас мире. С позиции законов химии дается объяснение многим явлениям, встречающим...                        
