МФК;Факультет;Формат;Курс читают;Описание
Моделирование исторических процессов и явлений;Исторический факультет;Online-курс;Бородкин Л. И. ;  Моделирование исторических процессов и явлений уже более полувека привлекает внимание историков. Однако ряд вопросов остаются дискуссионными. Среди них, например, такие. В какой мере историк может доверять компьютерным реконструкциям исторических процессов, явлений, артефактов? Можно ли использовать компьютерное моделирование как инструмент анализа возможных альтернатив развития того или иного исторического процесса? Допустимо ли использовать построенные модели исторических процессов в целях прогнозирования? В какой мере можно допустить перенос моделей, созданных в смежных социальных науках и доказавших там свою полезность, в сферу исторических исследований? Ответы на эти и другие актуальные вопросы мы дадим в предлагаемом МФК.   Курс состоит из четырех разделов. Первая часть посвящена м...                        
Язык, культура и межкультурная коммуникация;Филологический факультет;Online-курс;Тер-Минасова С. Г. (президент ФИЯР) ;Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Курсраскрывает проблемы международной имежкультурной коммуникации с особымвниманием к тем изменениям в жизничеловечества, которые вызваны главнымисовременными процессами: научно-техническойреволюцией, предоставившей небывалыевозможности для общения людей, иглобализацией как ее следствием. Новыеусловия жизни, с одной стороны, даютновый взгляд на роль национальных языкови культур, в том числе и как одного изглавных препятствий на пути глобализации,а с другой стороны, по-новому раскрываюткак их сущность, так и их влияние начеловека, одновременно творца и творенияродного языка и культуры.Преподаватель:Тер...                        
Английский язык для русскоязычных студентов: корректирующий курс (на английском языке);Филологический факультет;Online-курс;Липгарт А. А. (профессор) ;".With many students learning English tends to become an overlong and somewhat demoralizing process. This happens for a number of reasons: 1) distorting the natural order in which any language should be studied; 2) concentrating on various aspects of language in isolation and taking linguistic material out of context; 3) introducing wrong analogies with the learner’s mother tongue, 4) giving preference to some skills of comprehending and using the language to the detriment of others, etc. As a result after years of studying the language many learners fall far short of linguistic proficiency in the proper sense of the word.  The present course is aimed at helping the learners to bring some order in their often extensive but disarranged knowledge of English. After clarifying some moot points ...                        "
Русская литература и культурные конфликты XV-XX веков                                                                                                                                                   ;Филологический факультет;Online-курс;Ивинский Д. П. (профессор) ;"Курс посвящен описанию тех культурных конфликтов, которые отразились в русской литературе и повлияли на ее развитие, а вместе с тем сыграли решающую роль в истории русского самосознания и в русской истории, сохраняя свое значение вплоть до последнего времени.  В качестве таковых обсуждаются: конфликт «нестяжателей» («заволжских старцев») и последователей Иосифа Волоцкого, церковный раскол XVII в. и его последствия для русской культуры; борьба «грекофилов» и «латинствующих» во второй половине XVII в. связи с историей «московского барокко» и деятельностью Симеона Полоцкого; петровские реформы и борьба «петербургской» и «московской» идей русской истории; противостояние и взаимодействие имперской идеологии и эзотерических учений; борьба «славянофилов» и «западников»; «пушкинское» и «гоголевско...                        "
Современное английское произношение: типы речевой коммуникации и дискурс (на английском языке);Филологический факультет;Online-курс;Конурбаев М. Э. (профессор) ;Цель курса –познакомить студентов с основами безакцентного английского произношения: принципамии методами формирования речи на английском языке с упором на ключевых факторахартикуляционной базы, без учета которых речь иностранца всегда будет звучать неполноценнос точки зрения носителя языка. Современный мир все более становится визуальными устным. От того насколько молодой специалист способен ясно и четко выразитьсвою мысль на иностранном языке, не оставляя у взыскательных слушателей ощущениянеряшливости, беспомощности и пренебрежения к аудитории, зависит его дальнейшийпрофессиональный рост. Вопросы формирования блестящего английского произношениячасто оказываются на периферии изучения иностранных языков и занимают не более5% основного курса. Тогда как реальное говорени...                        
Техника речевого воздействия в публичной коммуникации;Филологический факультет;Online-курс;Шульга М. В. (профессор) ;Цель курса - познакомить слушателей с практическими аспектами новейших направлений лингвистики – лингвистической прагматики, теории речевой деятельности, семантики текста.  На материале политических акций (предвыборные кампании разного уровня, выступления политических деятелей) и публикаций в средствах массовой коммуникации осуществлена попытка выявления и классификации косвенных средств речевого воздействия, идущая от текста как объекта исследования.   Результаты помогут сформулировать «правила хорошего текста» - помочь тем, кому приходится говорить и убеждать, создавать профессионально грамотные тексты, обеспечивающие желаемый эффект в публичной коммуникации. Они могут научить пониманию текста (вернее, подтекста), скрытых намерений субъекта речи – политика, государственного деятеля, авто...                        
Сингулярная антропология: новые идеи в философии;Философский факультет;Online-курс;Гиренок Ф. И. ;В курсе раскрывается содержание сингулярной антропологии. «Сингулярность» отменяет идею вечного возвращения человека к одному и тому же, а также ставит под вопрос идею сверхчеловека.  Предмет сингулярной антропологии – не человек, а событие, которое состоит из определенной антропологической конфигурации: взаимодействия нескольких множеств галлюцинирующих существ, наличия чувственно-сверхчувственных предметов (изображения, куклы).  В курсе лекций разъясняется смысл «взрыва галлюцинаций» как сингулярного события, а также показываются следствия онтологической неразличимости сна и бодрствования. Человек рассматривается как существо, спящее наяву, а бытие – как врата в мир сновидений.  В ходе лекций будут рассмотрены центральные проблемы современной философии, а именно: сознание, интеллект, иск...                        
Миф об Эдипе: философские интерпретации;Философский факультет;Online-курс;Гаджикурбанов А. Г. (доцент) ;   Из Эдипа берет начало сама история греческой моральности – ее ткань составляет переплетение идеи метафизической вины и вины моральной. Метафизическая вина – детище изначально свойственной человеку «природы», над которой субъект моральной воли не властен. В нее входит и все то, что охватывается понятием «судьбы», В отличии от него, моральный субъект должен стать свободным от природы и от своей судьбы. Парадокс существования Эдипа как пасынка его «природы» состоит в том, чтоон как судьбоносный индивидуум несет свою судьбу в себе. Драматический образ Эдипа в античной культуре обнаруживает много общего с орфической религиозно-философской традицией. У орфиков душа повторяет трагедию Диониса именно в своем телесном воплощении: принципом ее эмпирической индивидуации является тело. Как становит...                        
Ценность и цена: теоретические и практические аспекты арт-рынка;Философский факультет;Online-курс;Апресян А. Р. ;Как произведение искусства становится признанным шедевром? Допустимо ли говорить о том, что в мире признаны безусловно прекрасные произведения, или же сегодня понятие «прекрасного» или же «ценного с художественной точки зрения» заменяется понятием его «цены»? Как художественный рынок влияет на формирование общественного вкуса?    Сегодня художественный рынок (арт-рынок) становится определяющим фактором не только в контексте купли-продажи произведений искусства, но и в формировании эстетических предпочтений самой широкой публики. Более того, вполне ответственно можно говорить и о том, что рынок – порой бесцеремонно – вторгается в области, ранее к нему не относившиеся, например в область экспертизы подлинности произведений искусства.     В рамках курса «Ценность и цена: теоретические и практ...                        
Притчи в религиях мира;Философский факультет;Online-курс;Саврей В. Я. ;Целью дисциплины является приобретение опыта научного комментария основных классических текстов притч в христианской, иудейский, хасидской, мусульманской, суфийской, буддийской, дзен-буддийской, индуистской, даосской, конфуцианской, зароастрийской и европейской традициях.   В задачи дисциплины входит рассмотрение особенностей и способов применения ключевых научных методов: филологического, лингвистического, текстологического, семиотического,психологического, биографического, сравнительно-исторического и историко-культурного в интерпретации сакральных текстов христианских и восточных притч.   В сущности, курс посвящен герменевтике сакрального текста классических притч в европейской и восточной культурах.  В результате освоения дисциплины студенты приобретут знания о первоисточниках христиан...                        
Вечное в русской философии;Философский факультет;Online-курс;Болдырев А. И. (доцент) ;Этот курс посвящён тому вечному, а, значит, и всегда актуальному, что несёт в себе отечественная интеллектуальная традиция. Россия рассматривается как особый культурно-исторический субъект, а русская философия как высшая форма его (субъекта) национального самосознания. Сверхзадача курса – определить, существует ли так называемая матрица русской культуры и, если существует, то каковы её главные характеристики и механизмы действия в различные периоды нашей истории. При этом автор данного курса, затрагивая довольно сложные теоретические проблемы, попытается по возможности избежать употребления специфической терминологии или найти ей общепонятные эквиваленты.  Мы ответим на вопрос: из чего, когда и как возникла русская философия, какие этапы прошла в своём развитии, каковы её основные идеи и х...                        
Успешные коммуникационные стратегии: профессия и повседневность;Философский факультет;Online-курс;Костикова А. А. (зав.кафедрой)Сегал А. П. (научный сотрудник)Сорина Г. В. (профессор)Прокудина Е. К. (доцент)Шаронов Д. И. (доцент) ;Курс представляет собой набор модулей, каждый из которых призван дать студентам самых различных специальностей базовые навыки построения успешной коммуникационной стратегии в различных сферах: как в межличностной, так и в профессиональной.   Модуль 1. Выработка понятийного аппарата, как инструментария интеллектуальной деятельности, методология коммуникации. Вопросно-ответные процедуры (ВОП) как необходимый инструмент креативного мышления, успешных коммуникационных стратегий в профессии и повседневности.  Модуль 2. Коммуникативные инструменты в управлении репутационными рисками организации. Знакомство с ключевыми трендами развития практик социальной корпоративной ответственности в современном мире. Овладение методиками типологии и прогнозирования организационных рисков. Выработка первичных ...                        
"""Капитал"" Маркса: методология и теория";Философский факультет;Online-курс;Бузгалин А. В. (профессор)Колганов А. И. (профессор) ;По многим мировым опросам Маркс является одним из крупнейших мировых мыслителей последних столетий. «Капитал» представляет собой классический образец системы фундаментальных политэкономических знаний, сохраняющих свое значение до сих пор (свидетельство последнего – небывалый рост интереса к «Капиталу» Карла Маркса, который стал самой продаваемой книгой по экономической теории в условиях Мирового экономического кризиса 2008-2010 гг.).   Постижение основных положений «Капитала» (хотя бы на вводном уровне) позволит студентам не только понять фундаментальные законы современной экономики – от природы рынка, денег и кризисов до основ человеческих ценностей в мире товарного фетишизма, но и освоить диалектический метод, позволяющий исследовать наиболее сложные, развивающиеся системы.  Курс разрабо...                        
Современные проблемы информационных и коммуникативных теорий: неклассический подход;Философский факультет;Online-курс;Ивахненко Е. Н. ;За последние 30 лет возникло несколько новых направлений изучения теорий информации и коммуникации. Все они так или иначе связаны с объектами, которые несут в себе свойства автопоэзиса и ассамбляжа. Подходы к исследованию таких объектов часто называют неклассическими. Причина тому – свойства, которые обретают эти объекты, порождая при этом на каждом этапе своего развития новые уровни сложности и неопределенности. Речь идет о многочисленных объектах – технологических, информационных, финансовых, социальных системах, сетях онлайн- и офлайн-коммуникации… Что их всех объединяет перед лицом пользователя, создателя и исследователя? Попытка найти ответ на этот и другие вопросы заявленной темы и есть та задача, которую ставит перед собой автор курса.   В ходе освещения тем курса предполагается рас...                        
Цифровые технологии и модели бизнеса в современной экономике;Экономический факультет;Online-курс;Лугачев М. И. (зав.кафедрой)Скрипкин К. Г. (доцент) ;Современная экономика всё в большей степени становится цифровой. Стремительно расширяется сектор цифровых продуктов и услуг, трансформируя все сферы современной экономики. В этих условиях важнейшим фактором экономического развития становится способность творчески применить на практике новые технологии, создавая новую ценность для потребителей или других фирм. Это творчество должно соответствовать определенным закономерностям и стандартам, забвение которых практически неизбежно ведет к неудаче. Именно эти закономерности и стандарты рассматриваются в курсе, начиная с примеров успехов и неудач инновационного бизнеса и заканчивая современными требованиями к бизнес-моделям в этой сфере. Эти требования основываются на ключевых современных цифровых технологиях, экономических особенностях цифровых...                        
Цифровая экономика: управление электронным бизнесом и электронной коммерцией;Экономический факультет;Online-курс;Лапидус Л. В. (профессор) ;Изучение состояния цифровойсреды и процессов цифровой трансформации является основой для построенияуспешных бизнес-моделей компаний любого масштаба – от старт-апов до мировыхгигантов. Все больше вниманияпривлекает вопрос перераспределения лидерских позиций в мировых рейтингахкомпаний. Весь мир следит за ошеломляющим развитием рынков электронного бизнесаи электронной коммерции, где рост финансовых показателей компаний составляетсотни процентов, где можно наблюдать за самыми дорогими старт-апами и самымикрупными сделками венчурной индустрии. Появляются новые быстрорастущие интернет-рынки. Растет популярность шеринговых сервисов (SharingEconomy) и других видов электронных услуг, что бросает вызов традиционнымкомпаниям разных отраслевых сегментов. Крупные интернет...                        
Как создать свой бизнес - основы предпринимательства;Экономический факультет;Online-курс;Чашкина Д. И. ;"Курс будет полезен студентам, которые:  -пока на знают, чем займутся после окончания МГУ;  -имеют много фундаментальных знаний, но пока не понимают, где их применить;  -планируют запускать свой бизнес в будущем или уже начали свой проект;  -хотят работать в крупнейших компаниях России и мира;  -имеют собственные идеи проектов и хотят найти команду и инвесторов для ее реализации....                        "
"""Зеленые"" финансы и устойчивое развитие";Экономический факультет;Online-курс;Бобылев С. Н. (профессор)Никоноров С. М. (ведущий научный сотрудник)Палт М. В. (доцент) ;"МФК «Зеленые финансы и устойчивое развитие» ориентирован на студентов бакалавров, обучающихся как на естественно - научных, так и на гуманитарных факультетах МГУ имени М.В. Ломоносова. Курс может быть полезен также магистрам, выбирающим программы на стыке различных направлений образования – естественно - научного и экономического, управленческого и экономического и т.д.  МФК «Зеленые финансы и устойчивое развитие» дает наглядное представление о «зеленой экономике», устойчивом развитии, «зеленых финансах», биоэкономики и проектном финансировании в экологические проекты на макро-, мезо- и микроуровнях.  Студенты могут получить качественные познания в области: «зеленой» экономики в мире и в России; устойчивом развитии на макроуровне в мире и в России и индикаторах устойчивого развития на макр...                        "
Экономика предприятия: учет, анализ, аудит и финансы;Экономический факультет;Online-курс;Рассказова-Николаева С. А.Суйц В. П. (профессор)Хорин А. Н. ;"Системные данные бухгалтерского учета активно используются в современной деловой практике - в управлении, налогообложении, оценочной деятельности, статистике, в организации функционирования финансовых рынков, в гражданско-правовом обороте. Данный курс включает в себя три тесно связанных предметных модуля: 1) бухгалтерский (финансовый) учет; 2) управленческий учет и аудит; 3) экономический анализ и финансы.   Раздел 1 посвящен бухгалтерскому (финансовому) учету, охватывает вопросы места и функций учета в системе управления организаций, информационных интересов пользователей учетной информации. Особое место уделено формированию и представлению в бухгалтерской (финансовой) отчетности показателей, характеризующих финансовое положение и финансовые результаты деятельности организаций: активов, к...                        "
Современная фирма: поведение, стратегии и культура;Экономический факультет;Online-курс;Гудкова Т. В. (доцент)Улупова В. Л. (старший преподаватель)Заздравных А. В. (доцент) ;Курс дает представление о стратегиях успешной фирмы в современной экономике и актуальных трендах в ее функционировании. Широкое внедрение цифровых технологий в деятельность современной фирмы позволяет сделать ее более гибкой и адекватной постоянным изменениям внешней среды. Наряду с улучшением коммуникаций, повышением эффективности бизнес-процессов и уровня клиентоориентированности, все более актуальным становится и поиск новых ценностей фирмы, формирующих ее корпоративную культуру.   В качестве приглашённых спикеров в проведении курса участвуют известные бизнес-практики: Андрей Романенко (основатель QIWI, генеральный директор «Эватор»), Снежана Черногорцева (директор по развитию бренда и маркетинговых коммуникаций «Мегафон»), Анна Панарина (директор по маркетингу «Hyundai Motor CIS»), Оль...                        
История и современность финансовых махинаций;Экономический факультет;Online-курс;Ломкин А. В. (доцент)Окунев В. И. (младший научный сотрудник) ;"Первые преступления в финансовой сфере отмечаются практически сразу после появления денег как экономического инструмента. В дальнейшем, на протяжении более чем двух с половиной тысяч лет, различного рода финансовые махинации неизбежно сопровождают человечество. Им пытались противостоять древние греки и Великий Рим, византийские басилеи и римские папы, европейские короли и американские президенты, коммунисты и капиталисты; создавались и рушились империи, сменяли друг друга эпохи и социально-экономические формации, а финансовые преступления продолжали существовать. Простые мошенники и талантливые фальшивомонетчики, строители финансовых «пирамид» и респектабельные биржевые спекулянты, крупные бизнесмены и мелкие аферисты, и прочая, и прочая, и прочая – все они в той или иной степени отметилис...                        "
Основы управления рисками и страхования;Экономический факультет;Online-курс;Котлобовский И. Б. (зав.кафедрой)Эченикэ В. Х. (доцент)Варшамова В. Г. (старший преподаватель)Саблукова Ю. Г. (старший преподаватель) ;"Курс дает вводное представление об основных методах управления рисками – уклонение, контроль и финансирование; формирует понимание действия механизма страхования и сущности его основных отраслей и видов. Студенты узнают об особенностях развития зарубежных и отечественного рынков страхования, получат представление об организации страхового дела и специфике страхового маркетинга. Приобретенный в ходе изучения дисциплины базовый набор знаний в области риск-менеджмента расширит профессиональные компетенции слушателей, а также повысит их финансовую грамотность в данной сфере.  Методология курса основывается на сочетании теории и практики. Занятия проходят в форме интерактивных лекций с элементами семинара, включают разбор кейсов и практических задач, участие в дискуссии. В рамках учебного курса...                        "
Анализ данных в SPSS;Экономический факультет;Online-курс;Кучмаева О. В. ;В профессиональной деятельности и повседневной жизни мы сталкиваемся с большим потоком разнообразных данных. В условиях цифровой экономики знание основ анализа массивов данных с использованием возможностей специальных программ позволяет выбрать верное решение, обосновать его и оценить его эффективность.   Курс «Анализ данных в SPSS » представляет собой изложение методикии практики использования статистических методов сбора, обработки и анализа количественных данных входе проведения выборочных исследований (опросов населения). Цель курса – изучить специфику применения методов сбора и анализа данных в процессе проведения выборочных исследований населения с использованием специальной программы SPSS, включающей широкий спектр методов обработки количественных и качественных показателей.  В ходе...                        
Юридическая поддержка стартапов: создание, управление и привлечение инвестиций;Юридический факультет;Online-курс;Молотников А. Е. (доцент) ;Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Накурсе изучаются юридические аспектыработы стартапов – растущих компанийв высокотехнологичной сфере. Слушателиознакомятся с базовыми понятиямиюридической техники, узнают, какимизаконами регулируется бизнес, в томчисле высокотехнологичный. Лекторыдадут ответы на актуальные вопросы: чтотакое стартап? Какая форма большеподходит для ведения такого бизнеса?Как зарегистрировать фирму и какуправлять ей? Слушатели также узнают,как вести текущую работу в стартапе:заключать договоры, и нанимать работников,платить налоги и взносы. Большое вниманиеуделено вопросам привлечения инвестиций,в том числе от государс...                        
Всемирная юридическая история. Формирование и развитие современного государства и права в Англии (Великобритании), США, Франции и Германии;Юридический факультет;Online-курс;Томсинов В. А. (профессор) ;Уважаемые студенты!Группа МФК у вас появится 14 октября, после чего вам станут доступны все задания курса. Не забудьте проверить!Курспроводится дистанционно: Курс всемирнойюридической истории показывает эволюциюгосударственности и правовой культурыв человеческом общества с эпохи Древностии до настоящего времени. Весь материалкурса делится на две части. В первойизлагается юридическая история Древностии Средневековья, вторая часть посвященаюридической истории Нового и Новейшеговремени.Данныйлекционный курс не повторяет учебныхкурсов, преподаваемых историками.События, процессы, явления всемирнойистории рассматриваются в нем сюридической точки зрения, поэтомуосмысливаются и оцениваются по-иному.Главное внимание в курсе всемирнойюридической истории уделяетс...                        
Некоммерческие организации: правила игры;Юридический факультет;Online-курс;Абросимова Е. А. (профессор) ;  Межфакультетский курс «Некоммерческие организации» призван сформировать у студента самые общие и в то же время системные знания о правовой природе, видах и особенностях некоммерческих организаций, а также представить общий обзор законодательства Российской Федерации, регулирующего деятельность некоммерческих организаций (НКО).   Достижению цели курса «Некоммерческие организации: правила игры» способствует решение следующих задач:  а) Изучение сущности и основных организационно-правовых форм некоммерческих организаций.  б) Изучение и анализ законодательства и нормативных правовых актов, регулирующих деятельность некоммерческих организаций.   в) Освоение студентами общих принципов создания и управления некоммерческими организациями, особенностей разных форм некоммерческих организаций.  г) ...                        
Спорт и право;Юридический факультет;Online-курс;Пешин Н. Л. (профессор) ;  Межфакультетский курс «Спорт и право» включает 2 основных модуля: общие вопросы спортивного права (в его рамках рассматриваются такие вопросы, как понятие спортивного права, современные проблемы спортивного права, основы нормативного правового регулирования физической культуры и спорта и др.), и специальные вопросы спортивного права (модуль посвящен вопросам формирования олимпийского права, разрешению конфликтов в спорте и др.).    На кого рассчитан курс:  Студенты и аспиранты юридического и иных факультетов МГУ, представители бизнес-сообщества, широкий круг руководителей и специалистов отрасли физической культуры и спорта, руководители спортивных центров и клубов, руководители и работники спортивных федераций и ассоциаций, менеджеры спортивных клубов и организаций, работники спортивных ...                        
